iter	RMSE
0	0.00617943257
1	0.006102189661
2	0.00602591229
3	0.005950588385
4	0.005876206029
5	0.005802753452
6	0.005730219033
7	0.005658591294
8	0.005587858902
9	0.005518010665
10	0.00544903553
11	0.005380922585
12	0.005313661052
13	0.005247240288
14	0.005181649783
15	0.00511687916
16	0.005052918169
17	0.004989756691
18	0.004927384732
19	0.004865792422
20	0.004804970016
21	0.00474490789
22	0.00468559654
23	0.004627026582
24	0.004569188749
25	0.004512073889
26	0.004455672965
27	0.004399977052
28	0.004344977338
29	0.00429066512
30	0.004237031805
31	0.004184068907
32	0.004131768045
33	0.004080120944
34	0.004029119431
35	0.003978755437
36	0.003929020994
37	0.003879908231
38	0.003831409377
39	0.003783516759
40	0.003736222799
41	0.003689520013
42	0.003643401012
43	0.003597858499
44	0.003552885267
45	0.003508474201
46	0.003464618272
47	0.003421310543
48	0.003378544161
49	0.003336312358
50	0.003294608453
51	0.003253425847
52	0.003212758023
53	0.003172598547
54	0.003132941065
55	0.003093779301
56	0.003055107059
57	0.00301691822
58	0.002979206742
59	0.002941966657
60	0.002905192073
61	0.002868877172
62	0.002833016207
63	0.002797603504
64	0.002762633459
65	0.002728100541
66	0.002693999283
67	0.002660324292
68	0.002627070238
69	0.002594231859
70	0.00256180396
71	0.00252978141
72	0.002498159142
73	0.002466932153
74	0.0024360955
75	0.002405644306
76	0.002375573752
77	0.002345879079
78	0.002316555591
79	0.002287598645
80	0.002259003662
81	0.002230766116
82	0.002202881539
83	0.002175345519
84	0.0021481537
85	0.002121301778
86	0.002094785505
87	0.002068600686
88	0.002042743177
89	0.002017208887
90	0.001991993776
91	0.001967093853
92	0.00194250518
93	0.001918223864
94	0.001894246066
95	0.00187056799
96	0.001847185889
97	0.001824096065
98	0.001801294864
99	0.001778778678
100	0.001756543944
101	0.001734587145
102	0.001712904805
103	0.001691493495
104	0.001670349826
105	0.001649470453
106	0.001628852072
107	0.00160849142
108	0.001588385277
109	0.001568530461
110	0.00154892383
111	0.001529562282
112	0.001510442753
113	0.001491562218
114	0.00147291769
115	0.001454506219
116	0.001436324891
117	0.00141837083
118	0.001400641194
119	0.001383133179
120	0.001365844014
121	0.001348770963
122	0.001331911326
123	0.001315262434
124	0.001298821653
125	0.001282586383
126	0.001266554053
127	0.001250722127
128	0.0012350881
129	0.001219649498
130	0.001204403879
131	0.001189348831
132	0.00117448197
133	0.001159800945
134	0.001145303433
135	0.00113098714
136	0.001116849801
137	0.001102889178
138	0.001089103063
139	0.001075489274
140	0.001062045658
141	0.001048770087
142	0.001035660461
143	0.001022714705
144	0.001009930771
145	0.0009973066363
146	0.0009848403032
147	0.0009725297992
148	0.0009603731766
149	0.0009483685117
150	0.0009365139051
151	0.0009248074811
152	0.0009132473874
153	0.0009018317949
154	0.0008905588973
155	0.0008794269109
156	0.0008684340744
157	0.0008575786483
158	0.000846858915
159	0.0008362731784
160	0.0008258197635
161	0.0008154970163
162	0.0008053033035
163	0.000795237012
164	0.0007852965492
165	0.0007754803422
166	0.0007657868378
167	0.0007562145022
168	0.0007467618208
169	0.0007374272979
170	0.0007282094565
171	0.0007191068382
172	0.0007101180026
173	0.0007012415274
174	0.0006924760082
175	0.0006838200579
176	0.0006752723071
177	0.0006668314031
178	0.0006584960105
179	0.0006502648102
180	0.0006421365
181	0.0006341097936
182	0.0006261834211
183	0.0006183561282
184	0.0006106266765
185	0.0006029938429
186	0.0005954564197
187	0.0005880132144
188	0.0005806630491
189	0.0005734047609
190	0.0005662372013
191	0.0005591592361
192	0.0005521697456
193	0.0005452676237
194	0.0005384517783
195	0.0005317211309
196	0.0005250746167
197	0.0005185111839
198	0.000512029794
199	0.0005056294215
200	0.0004993090536
201	0.0004930676903
202	0.0004869043441
203	0.0004808180397
204	0.0004748078141
205	0.0004688727164
206	0.0004630118073
207	0.0004572241597
208	0.0004515088576
209	0.0004458649968
210	0.0004402916842
211	0.0004347880381
212	0.0004293531875
213	0.0004239862726
214	0.0004186864441
215	0.0004134528635
216	0.0004082847026
217	0.0004031811438
218	0.0003981413794
219	0.0003931646121
220	0.0003882500544
221	0.0003833969286
222	0.0003786044669
223	0.000373871911
224	0.0003691985121
225	0.0003645835306
226	0.0003600262364
227	0.0003555259084
228	0.0003510818345
229	0.0003466933115
230	0.000342359645
231	0.0003380801494
232	0.0003338541474
233	0.0003296809705
234	0.0003255599583
235	0.0003214904588
236	0.000317471828
237	0.0003135034301
238	0.0003095846372
239	0.0003057148291
240	0.0003018933937
241	0.0002981197262
242	0.0002943932296
243	0.0002907133142
244	0.0002870793977
245	0.0002834909052
246	0.0002799472688
247	0.0002764479279
248	0.0002729923287
249	0.0002695799246
250	0.0002662101755
251	0.0002628825482
252	0.0002595965163
253	0.0002563515598
254	0.0002531471653
255	0.0002499828257
256	0.0002468580403
257	0.0002437723148
258	0.0002407251608
259	0.0002377160962
260	0.000234744645
261	0.0002318103369
262	0.0002289127076
